,total,benign,malware,b-m
movaddstrbl_,7875,0.9723,0.0007,0.9716
movmovmovsubcmpjb_,11936,1.2003,0.2289,0.9714
movldrldrcmpb__,7866,0.9711,0.0008,0.9703
movstrldrcbz,7826,0.9671,0,0.9671
andmovjmp,54449,3.5858,2.619,0.9668
movpoppoppoppoppopret,43000,2.9408,1.9774,0.9634
nopcmpjz_,15029,1.3681,0.4076,0.9605
adraddaddbl_,7762,0.9592,0,0.9592
movpuspuscaladdjmp,10607,1.1186,0.1601,0.9585
addldpret,7730,0.9553,0,0.9553
ldraddubfbl_,7702,0.9518,0,0.9518
movcalnopmovtesjz_,18969,1.5809,0.636,0.9449
leamovtesjz_,53558,3.522,2.5804,0.9416
movcalmovtesjnz,49141,3.2704,2.3352,0.9352
movcaladdret,12250,1.1982,0.263,0.9352
leamovcmpjb_,17844,1.5088,0.5803,0.9285
addpopret,36325,2.5465,1.6187,0.9278
ldacalcalret,8165,0.9643,0.0373,0.927
leapussubmovmovcalleapopret,7501,0.9263,0.0005,0.9258
stpstpstpstpstpstrmovbl_,7482,0.9246,0,0.9246
ldaldljmp,7460,0.9219,0,0.9219
nopjmp,8655,0.9888,0.0673,0.9215
leatesjz_,40115,2.7544,1.8357,0.9187
ldaldaldfldacalcasstfret,7663,0.9314,0.013,0.9184
movmovmovmovmovjmp,97393,5.9698,5.0546,0.9152
movmovmovmovmovleapusmovcalmov...,7414,0.9139,0.002,0.9119
puspustesjz_,58890,3.8012,2.8968,0.9044
movmovcmpb__,7388,0.9076,0.0045,0.9031
pusmovmovcalpopret,23749,1.8265,0.9236,0.9029
movmovmovcalret,32361,2.3089,1.4084,0.9005
movxorjmp,69423,4.3905,3.4904,0.9001
adraddldrcmpb__,7219,0.8921,0,0.8921
movmovmovmovcmpjz_,83516,5.1768,4.2864,0.8904
pusmovpuspuspustesjz_,30621,2.2055,1.3154,0.8901
movpoppusaddmovmovbl_,7192,0.8888,0,0.8888
pussubmovxorcmpjz_,7234,0.8911,0.0024,0.8887
ldraddmovmovbl_,7192,0.888,0.0006,0.8874
pusmovpusmovpuspusdecjnz,15011,1.327,0.44,0.887
