,total,benign,malware,b-m
cmpleamovjnz,2385,0.1288,0.1383,-0.0095
puspuspuscaltesmovjnz,1992,0.1066,0.1163,-0.0097
movmovxorpoppoppopmovpusmovcal...,2110,0.1132,0.123,-0.0098
movmovmovcalmovmovmovcalpoppop...,2359,0.1272,0.137,-0.0098
addincjmp,1874,0.0999,0.1098,-0.0099
movleamovmovtesjnz,1819,0.0968,0.1067,-0.0099
pusmovpuspuscaljmp,4330,0.2378,0.2478,-0.01
movmovmovmovtesjle,3890,0.213,0.223,-0.01
pusmovmovcalmovcmpjz_,2374,0.1278,0.138,-0.0102
movtesjbe,18469,1.0318,1.0421,-0.0103
movmovmovcalmovpoppopret,6190,0.3421,0.3524,-0.0103
subtesjl_,1873,0.0996,0.1099,-0.0103
movmovmovmovmovmovmovpopret,4225,0.2317,0.242,-0.0103
movpusmovpusmovcmpjnz,3330,0.1814,0.1917,-0.0103
movnopinccmpjnz,5272,0.2905,0.3008,-0.0103
puspusmovmovmovmovmovcaltesjnz,5465,0.3013,0.3117,-0.0104
movcalpuscalcmpjnz,1852,0.0982,0.1088,-0.0106
movincmovinccmpjz_,2149,0.1148,0.1256,-0.0108
movmovincinccmpjnz,2467,0.1326,0.1435,-0.0109
leacmpjg_,7160,0.3962,0.4072,-0.011
movandjnz,17664,0.9862,0.9972,-0.011
subtesjg_,2225,0.1189,0.1301,-0.0112
addmovcmpjbe,1983,0.1053,0.1165,-0.0112
movpusmovcalpoppopret,2917,0.1577,0.169,-0.0113
andandcmpjz_,2314,0.1238,0.1351,-0.0113
movpuspuspusjmp,4085,0.2233,0.2346,-0.0113
leamovcalmovleamovcaljmp,1906,0.1008,0.1122,-0.0114
movmovmovmovcmpjl_,6251,0.3449,0.3563,-0.0114
movmovxorxorpoppoppopmovjmp,1860,0.0981,0.1098,-0.0117
leacalmovmovmovtesjz_,2668,0.1435,0.1552,-0.0117
puscalpuscalmovtesjz_,1829,0.0963,0.1081,-0.0118
leapusleapuspuscaladdtesjz_,2393,0.1279,0.1398,-0.0119
addmovaddmovmovmovcalpoppopret,1960,0.1036,0.1155,-0.0119
movmovleamovmovcaljmp,2869,0.1545,0.1667,-0.0122
poppopor_poppopret,2771,0.149,0.1612,-0.0122
puscaladdmovmovmovtesjz_,2434,0.13,0.1423,-0.0123
movmovmovmovmovmovcmpjle,1916,0.1008,0.1133,-0.0125
movmovmovmovmovmovcmpjbe,1931,0.1015,0.1143,-0.0128
puspusmovmovtesjl_,3513,0.1903,0.2032,-0.0129
xorxormovmovtesjz_,2036,0.1073,0.1203,-0.013
poppoppopmovpoppopret,5090,0.2788,0.2918,-0.013
movpusxormovcalret,4589,0.2506,0.2637,-0.0131
movpusmovcalmovmovpopret,1814,0.0947,0.1079,-0.0132
movpopmovpoppopret,4437,0.242,0.2553,-0.0133
puspuspusmovmovmovmovdeccmpjl_,2480,0.132,0.1454,-0.0134
pusmovmovmovtesjnz,5297,0.2902,0.3037,-0.0135
movleapuspuspuscaltesjl_,2202,0.1163,0.1299,-0.0136
or_movcalret,1925,0.1007,0.1143,-0.0136
pussubmovmovcalmovtesjz_,2667,0.1424,0.156,-0.0136
movpuspuspuspuscalmovtesjz_,2183,0.1152,0.1288,-0.0136
puspuspuspusmovmovmovmovdectes...,3092,0.1662,0.1799,-0.0137
movcalmovmovcalpopret,3333,0.1797,0.1935,-0.0138
movfldcalmovmovjmp,1950,0.102,0.1158,-0.0138
movmovincmovtesjz_,3148,0.1693,0.1831,-0.0138
movpuscmpjz_,3989,0.2165,0.2304,-0.0139
movincdecjz_,2562,0.1363,0.1502,-0.0139
incaddmovmovcmpjg_,2319,0.1226,0.1366,-0.014
puspuspusaddmovmovmovcmpjz_,3001,0.1609,0.175,-0.0141
movmovpussubmovmovmovcalnopmov...,2145,0.1128,0.1269,-0.0141
puspuscalmovaddmovtesjz_,1985,0.1038,0.1179,-0.0141
movmovcalmovcaljmp,10670,0.5916,0.6058,-0.0142
pusaddmovmovmovmovcalmovaddpop...,1824,0.0947,0.1089,-0.0142
puscalpuscalcmpjz_,2032,0.1064,0.1206,-0.0142
movmovpussubmovmovmovcmpjz_,3626,0.1959,0.2102,-0.0143
pussubmovcaltesjnz,2816,0.1504,0.1647,-0.0143
movleamovmovmovcaltesjz_,5708,0.3128,0.3272,-0.0144
ldlbr.,2191,0.1152,0.1296,-0.0144
movpusmovcalpoptesjnz,3545,0.1912,0.2057,-0.0145
pusmovmovmovmovcaljmp,5188,0.2835,0.298,-0.0145
leacalleacalleacalret,1941,0.101,0.1157,-0.0147
leamovmovmovmovcalmovtesjz_,1906,0.099,0.1138,-0.0148
xormovmovpoppoppoppopmovpopret,4541,0.247,0.2618,-0.0148
incxormovmovmovcalcalincdecjnz,2163,0.1134,0.1282,-0.0148
leapuspuspuscalpopcalpoppopcmp...,2644,0.1404,0.1553,-0.0149
movpusmovjmp,3258,0.1749,0.1898,-0.0149
puspuspuspuspuscalpopret,3855,0.2084,0.2234,-0.015
puspuspuspuspusmovmovmovmovmov...,1837,0.095,0.11,-0.015
movcalmovmovpopret,4164,0.2257,0.2408,-0.0151
pusmovaddpusmovmovmovtesjz_,1922,0.0997,0.1148,-0.0151
movmovfldcalmovmovjmp,1938,0.1005,0.1158,-0.0153
movmovleamovmovcaltesjnz,2223,0.1165,0.1318,-0.0153
pusmovcaltesjl_,2751,0.1462,0.1615,-0.0153
movpustesjnz,2836,0.1509,0.1663,-0.0154
puscalpoppuscalpopmovpuspuslea...,1906,0.0986,0.1141,-0.0155
addmovpusmovmovcalpopaddmovjmp,1906,0.0986,0.1141,-0.0155
addmovret,6259,0.3431,0.3587,-0.0156
movmovxorcaltesjz_,3356,0.1798,0.1958,-0.016
puspusmovmovmovmovcalmovcmpjz_,1805,0.0926,0.1087,-0.0161
movleanopmovaddtesjnz,2077,0.1079,0.124,-0.0161
movpuspuspuspuspuspuscaltesjz_,1794,0.0919,0.1081,-0.0162
pusmovaddpusmovmovmovpuspusmov...,2492,0.1311,0.1474,-0.0163
andor_movjmp,2480,0.1304,0.1467,-0.0163
movpuspuspuspusjmp,2023,0.1047,0.1211,-0.0164
pusmovcalmovpopret,10145,0.5609,0.5773,-0.0164
pusmovpuspuspusmovmovxorpuspus...,1848,0.0948,0.1113,-0.0165
movpuspuspuspuscalret,3930,0.2116,0.2284,-0.0168
movxormovcalcmpjz_,3994,0.2152,0.232,-0.0168
movmovor_movpopret,1885,0.0966,0.1136,-0.017
movmovxormovcmpjz_,2469,0.1294,0.1464,-0.017
movmovmovpuscaltesjz_,2049,0.1058,0.1229,-0.0171
movmovmovxormovfilfstwaijmp,1924,0.0987,0.1158,-0.0171
movmovfldcalpussarcmppopjz_,1924,0.0987,0.1158,-0.0171
movaddcaldecjg_,4493,0.243,0.2602,-0.0172
incmovaddjmp,1810,0.0923,0.1095,-0.0172
movleamovcaldecjnz,1887,0.0965,0.1139,-0.0174
movleamovmovmovcmpjnz,3879,0.2084,0.2258,-0.0174
pusmovpuspuspusmovcmpjz_,3540,0.1893,0.2068,-0.0175
movmovmovpuscaljmp,2007,0.1032,0.1207,-0.0175
pusleapusmovpuscaltesjz_,2661,0.1399,0.1575,-0.0176
movsubmovcmpjbe,2884,0.1524,0.17,-0.0176
leamovinctesjnz,4980,0.27,0.2878,-0.0178
nopnopnopret,2133,0.1101,0.1279,-0.0178
puspuscalpuscaljmp,3569,0.1907,0.2086,-0.0179
movpuspuspuscalmovtesjz_,2995,0.1584,0.1764,-0.018
movcalmovxormovtesjz_,1961,0.1002,0.1184,-0.0182
leamovmovcalnopjmp,2194,0.1131,0.1317,-0.0186
movcalandaddpopret,1898,0.0964,0.1151,-0.0187
incsubjnz,2348,0.1217,0.1404,-0.0187
movmovmovcmpmovjnz,4560,0.2459,0.2646,-0.0187
movmovpusmovmovcalpopjmp,3921,0.21,0.2288,-0.0188
movmovcalcmpleajl_,1964,0.1,0.1189,-0.0189
decaddtesjg_,2812,0.1476,0.1666,-0.019
cmpjnbmovcmpjnz,5381,0.2919,0.3109,-0.019
decmovtesjg_,2873,0.1509,0.1701,-0.0192
leapuscaladdjmp,2063,0.1054,0.1246,-0.0192
movmovmovmovmovmovcalmovcmpjz_,3410,0.181,0.2003,-0.0193
movmovcalmovmovcalpoppoppoppop...,1940,0.0984,0.1178,-0.0194
pusmovcmppusmovjnz,4730,0.2551,0.2745,-0.0194
movpusmovpuscaljmp,2453,0.1272,0.1466,-0.0194
movmovpoppoppoppopmovpopret,3270,0.1731,0.1925,-0.0194
pusmovcaladdtesjz_,2438,0.1263,0.1458,-0.0195
puspuspuspuscalcmpmovjnz,1887,0.0953,0.1149,-0.0196
andmovpusmovpuscalpopret,2750,0.1437,0.1634,-0.0197
pusmovmovmovsubjz_,2197,0.1126,0.1324,-0.0198
movmovmovcmpmovjz_,5294,0.2865,0.3065,-0.02
addcalmovmovmovmovmovtesjz_,2143,0.1094,0.1295,-0.0201
movmovmovxchcalret,2474,0.128,0.1481,-0.0201
movcalpuscaltesjnz,4394,0.2358,0.256,-0.0202
calxorpoppoppopmovpusret,1800,0.0901,0.1103,-0.0202
addaddmovcmpjnz,1853,0.0931,0.1133,-0.0202
movcalmovcmpjbe,2526,0.1309,0.1511,-0.0202
pusmovaddpuspusxormovmovmovxor...,2175,0.111,0.1315,-0.0205
movpusmovcalpopmovcmpjnz,2113,0.1075,0.128,-0.0205
pusmovpusmovmovtesjnz,4759,0.2561,0.2767,-0.0206
movpusmovpuscalmovcmpjnz,1939,0.0976,0.1183,-0.0207
puspuspusleapuscalret,2243,0.1147,0.1354,-0.0207
movmovcalmovmovmovcalpoppopret,5812,0.3151,0.3359,-0.0208
addtesmovjz_,2046,0.1036,0.1244,-0.0208
puspuspuspusaddmovmovmovmovtes...,1820,0.0908,0.1117,-0.0209
movpusmovpusmovpusmovmovmovmov...,1945,0.0978,0.1188,-0.021
movmovaddmovtesjnz,1885,0.0944,0.1154,-0.021
movmovincmovret,2960,0.1548,0.1758,-0.021
pusmovmovmovpusmovpuscaladdpop...,1811,0.0902,0.1113,-0.0211
movleamovcmpja_,3042,0.1592,0.1806,-0.0214
pusaddmovmovmovcmpja_,1889,0.0944,0.1158,-0.0214
movandret,12215,0.6744,0.6959,-0.0215
andmovmovleapusmovmovpuscalfnc...,2321,0.1186,0.1402,-0.0216
movmovmovpoppoppoppopret,6458,0.351,0.3726,-0.0216
movcalmovmovcalmovmovcaljmp,2647,0.1369,0.1585,-0.0216
cldcalmovtesjz_,2605,0.1345,0.1562,-0.0217
movpuscalpopcmpjnz,4661,0.2499,0.2718,-0.0219
incleapuspuscalxormovmovmovmov...,1942,0.0971,0.119,-0.0219
movmovfilfmufiswaijmp,2637,0.1362,0.1581,-0.0219
puspuspuspuscaladdmovcmpjz_,2314,0.118,0.1399,-0.0219
pusmovmovaddmovcaldecjg_,3114,0.1629,0.1849,-0.022
puspuspuscaladdjmp,41419,2.3145,2.3365,-0.022
submovret,4564,0.2443,0.2664,-0.0221
movcalmovmovcalcmpjle,2266,0.1152,0.1374,-0.0222
movpuscaltespopjz_,6583,0.3576,0.3799,-0.0223
movaddmovsubcmpjnz,2044,0.1026,0.125,-0.0224
incinccmpjle,2358,0.1202,0.1426,-0.0224
puspuspuspuscaltesjnz,6164,0.3338,0.3566,-0.0228
movpusmovmovcalpopjmp,5914,0.3197,0.3426,-0.0229
movmovcalleamovcalcmpjz_,2921,0.1515,0.1745,-0.023
subsarmovcmpjnz,2016,0.1007,0.1237,-0.023
puspusaddmovmovmovcmpjz_,2640,0.1357,0.1588,-0.0231
movmovshlmovtesjz_,2158,0.1086,0.1317,-0.0231
puscalandpoppopret,2252,0.1139,0.137,-0.0231
movmovaddtesjnz,5871,0.317,0.3404,-0.0234
incxorcmpjz_,3224,0.1683,0.1917,-0.0234
movnegsbbpopret,1860,0.0916,0.1152,-0.0236
puspuscalmovmovtesjz_,3641,0.1915,0.2153,-0.0238
puspusmovmovcalmovmovcaltesjz_,1792,0.0876,0.1115,-0.0239
movcmpmovmovjnz,4215,0.2237,0.2477,-0.024
popsubjmp,1829,0.0896,0.1137,-0.0241
movcalmovmovcalmovcalpoppopret,1806,0.0882,0.1124,-0.0242
puspusmovmovcmpjl_,2531,0.1289,0.1532,-0.0243
movinccmpjb_,32208,1.7958,1.8202,-0.0244
movpuspuspuscaltesjnz,2905,0.1498,0.1743,-0.0245
leacaladddecjnz,1995,0.0986,0.1233,-0.0247
movmovpusxormovcalret,3445,0.1799,0.2048,-0.0249
movmovcdqmovmovjmp,3091,0.16,0.1849,-0.0249
puspuspuspusaddmovmovmovtesjz_,2159,0.1076,0.1326,-0.025
incxormovmovcalmovcmpjz_,4006,0.2112,0.2365,-0.0253
movmovcalmovcmpjg_,2371,0.1194,0.1447,-0.0253
movsubmovaddcmpjge,2231,0.1115,0.1369,-0.0254
pusxorjmp,1803,0.0874,0.1129,-0.0255
puspuspuspuscalpoppoppopret,1988,0.0978,0.1233,-0.0255
andaddmovcalpoppopret,2187,0.1089,0.1345,-0.0256
addcalmovmovxormovcalmovmovtes...,3641,0.1904,0.2162,-0.0258
pusmovpuspuspuspusmovmovcmpjz_,6761,0.3657,0.3915,-0.0258
pusmovcmpjle,3482,0.1815,0.2073,-0.0258
incmovcmpjge,11313,0.6214,0.6472,-0.0258
pusmovsubmovmovjmp,2466,0.1244,0.1502,-0.0258
pussubmovmovmovmovcalnopaddpop...,1791,0.0865,0.1123,-0.0258
movsubja_,2186,0.1086,0.1346,-0.026
movmovpussubmovmovtesjnz,3702,0.1938,0.2198,-0.026
xormovmovcaltesjs_,2261,0.1128,0.1388,-0.026
movpuspusjmp,10375,0.5685,0.5947,-0.0262
movmovaddcmpjg_,2027,0.0995,0.1258,-0.0263
movpuscalxorjmp,3131,0.1615,0.1878,-0.0263
movmovmovxorpopret,2062,0.1015,0.1278,-0.0263
leapuspuspuscaltesjnz,6313,0.3402,0.3666,-0.0264
movmovmovmovmovcmpjg_,4712,0.2502,0.2767,-0.0265
or_movpoppopret,5776,0.3099,0.3365,-0.0266
pusmovmovmovmovmovmovpopret,5555,0.2975,0.3242,-0.0267
movpusmovmovmovmovcalpoppopret,2072,0.1018,0.1285,-0.0267
movmovmovshladdmovaddaddmovcmp...,1830,0.0882,0.1149,-0.0267
pusmovpuspuspuspuscalpopret,3534,0.1839,0.2107,-0.0268
pusaddmovmovmovcalmovaddpopret,1902,0.0922,0.119,-0.0268
andaddmovcmpjb_,2177,0.1076,0.1345,-0.0269
movsubmovcmpjz_,6280,0.338,0.365,-0.027
movxorxormovcaljmp,1820,0.0875,0.1145,-0.027
movmovmovmovmovmovdectesjl_,1993,0.0971,0.1243,-0.0272
leapuscalpusmovleamovmovcalmov...,2528,0.1272,0.1544,-0.0272
andmovmovmovret,1940,0.094,0.1214,-0.0274
nopcalldsldscalstlldlcasstlbr.,2082,0.102,0.1294,-0.0274
pusmovpuscaljmp,10119,0.5534,0.5809,-0.0275
movmovmovcalmovmovcalmovjmp,2729,0.1383,0.1658,-0.0275
pusmovaddpuspuspusmovmovmovcal...,1899,0.0916,0.1192,-0.0276
movcalfstwaijmp,13766,0.7582,0.7858,-0.0276
puscalandpopret,4521,0.2389,0.2665,-0.0276
movmovmovmovmovmovcalpoppoppop...,2029,0.0989,0.1266,-0.0277
calpoppopmovpopret,2416,0.1206,0.1483,-0.0277
leamovcalmovleacalmovmovcaljmp,1843,0.0884,0.1162,-0.0278
movtesmovjle,2160,0.1062,0.134,-0.0278
movpusmovmovjmp,1800,0.0859,0.1138,-0.0279
movmovmovcalmovmovpoppopret,2113,0.1033,0.1315,-0.0282
movincsubjnz,4084,0.214,0.2422,-0.0282
movpusmovpuspusmovcalmovmovpop...,2375,0.118,0.1462,-0.0282
movmovmovmovmovpoppoppoppopmov...,1842,0.0881,0.1163,-0.0282
movmovcaldeccmpjnz,4547,0.24,0.2683,-0.0283
pusmovpuspusmovxorpuspuspusmov...,2840,0.144,0.1725,-0.0285
movcalmovtesjle,3426,0.1768,0.2054,-0.0286
pusmovandpopret,2165,0.106,0.1346,-0.0286
puspusmovmovmovmovmovcalmovpus...,3648,0.1893,0.2179,-0.0286
incxorpusmovmovcalxormovcalinc...,1843,0.0879,0.1166,-0.0287
movpuspuspuscalmovtesjnz,1820,0.0865,0.1153,-0.0288
pusleapusmovmovmovcalcmpjz_,1920,0.0921,0.121,-0.0289
pusmovpuspuspuspusmovmovxorpus...,1922,0.0922,0.1211,-0.0289
pusleapuspuspuscalcmppoppoppop...,2529,0.1262,0.1553,-0.0291
movmovmovcalcalpoppoppoppoppop...,3858,0.2008,0.2299,-0.0291
leapoppoppopmovpopret,1851,0.0881,0.1172,-0.0291
movmovfilfstwaijmp,4961,0.2627,0.2919,-0.0292
movmovmovincjmp,6287,0.3372,0.3664,-0.0292
leapuspuscalcmppopjz_,2531,0.1262,0.1555,-0.0293
movxormovmovcmpjnz,3553,0.1836,0.2129,-0.0293
movincmovret,2841,0.1436,0.1729,-0.0293
xorpuspuspusmovcmpjz_,4781,0.2525,0.2819,-0.0294
movmovmovcaltesjg_,2241,0.1097,0.1393,-0.0296
pusmovaddpuspusmovmovleapuscal...,2291,0.1125,0.1422,-0.0297
xorpuspuspusmovmovcalxorpoppop...,1830,0.0866,0.1163,-0.0297
movpuspuspusmovcaljmp,3519,0.1814,0.2112,-0.0298
calcalpoppoppoppopret,3351,0.1719,0.2018,-0.0299
addmovcmpjz_,13629,0.7491,0.7792,-0.0301
puspuspuspuscalpopret,5078,0.2688,0.2989,-0.0301
subsubjz_,2035,0.0979,0.128,-0.0301
movmovmovmovmovcmpjle,8691,0.4717,0.5019,-0.0302
puspuspusmovmovmovcalmovtesjz_,4028,0.2097,0.24,-0.0303
leamovmovcalmovxormovjmp,2252,0.11,0.1403,-0.0303
puspuspuspuspusmovmovmovcmpjz_,2365,0.1163,0.1466,-0.0303
fstret,2360,0.116,0.1463,-0.0303
pusleamovmovcaltesjz_,1834,0.0865,0.1168,-0.0303
movxorxormovtesjz_,2385,0.1174,0.1478,-0.0304
puspuscaladdmovcmpjz_,3660,0.189,0.2194,-0.0304
movmovmovfilfmufiswaijmp,2496,0.1236,0.1541,-0.0305
movpussublealeajmp,2771,0.139,0.1695,-0.0305
movmovmovmovmovcmpjb_,4386,0.2296,0.2603,-0.0307
pusmovaddmovcalmovxorpuspuspus...,1814,0.0851,0.1158,-0.0307
movmovmovcalxorpoppoppopmovpus...,3628,0.187,0.2178,-0.0308
puspusmovmovjmp,5820,0.3101,0.341,-0.0309
cdqmovmovaddjmp,2191,0.1062,0.1372,-0.031
pusmovaddpusmovmovmovmovcaltes...,3629,0.1869,0.218,-0.0311
or_xadjnz,9724,0.5292,0.5604,-0.0312
movmovdecjmp,3736,0.1928,0.2241,-0.0313
movsubcmpmovja_,1952,0.0926,0.1239,-0.0313
xormovmovpopret,4407,0.2304,0.2619,-0.0315
pusmovcmpjg_,2182,0.1054,0.1369,-0.0315
movmovxortesjnz,3334,0.17,0.2016,-0.0316
movcalcalcalmovmovmovcalpoppop...,1816,0.0848,0.1164,-0.0316
xormovcalmovcmpjnz,2450,0.1204,0.152,-0.0316
puscalmovpoppoppopret,3172,0.1609,0.1926,-0.0317
movcalmovmovmovpoppoppoppopmov...,2040,0.0973,0.129,-0.0317
puspuspuspuspuscalmovjmp,2274,0.1104,0.1422,-0.0318
movmovlealeajmp,2753,0.1373,0.1691,-0.0318
movxorpoppoppopmovpopret,1867,0.0875,0.1193,-0.0318
movmovleamovcaltesjnz,5765,0.3064,0.3384,-0.032
incmovcaltesjnz,3277,0.1666,0.1986,-0.032
movmovmovcalmovmovmovcalmovjmp,2029,0.0965,0.1285,-0.032
movmovmovcdqmovmovjmp,2693,0.1338,0.1658,-0.032
puscalcmpjle,3514,0.1798,0.212,-0.0322
xorleatesjz_,2297,0.1112,0.1439,-0.0327
movlealeacmpjz_,2651,0.131,0.1638,-0.0328
fldfstwaijmp,4748,0.2488,0.2816,-0.0328
leamovmovcalcmpjnz,8324,0.4496,0.4825,-0.0329
leamovcalmovmovcaljnz,4763,0.2496,0.2825,-0.0329
pusmovpusmovmovcmpjb_,1957,0.0919,0.1249,-0.033
xormovaddret,2040,0.0965,0.1296,-0.0331
pusmovpuspuspusmovmovcalmovdec...,1790,0.0824,0.1156,-0.0332
movmovmovmovcalmovmovmovmovadd...,1871,0.087,0.1202,-0.0332
calmovmovmovcalmovtesjz_,2035,0.0959,0.1296,-0.0337
puscalpuscaltesjz_,2324,0.1121,0.1459,-0.0338
movaddmovcalpoppopret,2628,0.1291,0.163,-0.0339
pusmovpusmovpuscalmovpuscalret,1967,0.0919,0.1259,-0.034
movmovsubjnz,23832,1.3201,1.3541,-0.034
tesmovcmomovjmp,2413,0.1169,0.1511,-0.0342
movmovaddaddcmpjnz,3702,0.1892,0.2236,-0.0344
movmovpussubmovmovmovmovtesjz_,3296,0.1663,0.2008,-0.0345
puspuspusmovxortesjz_,1811,0.0829,0.1174,-0.0345
leamovmovmovincsubjnz,2089,0.0984,0.1331,-0.0347
popmovpoppoplearet,1990,0.0928,0.1276,-0.0348
calmovandmovcaltesjle,3989,0.205,0.2399,-0.0349
movpoppoppoppopjmp,2734,0.1345,0.1695,-0.035
movcalmovtesjl_,3323,0.1676,0.2026,-0.035
pusmovcalmovxorcmpjnz,2427,0.1172,0.1523,-0.0351
addaddret,7437,0.3985,0.4337,-0.0352
movcalandmovtesjz_,3339,0.1682,0.2037,-0.0355
pusmovaddpuspuspusmovmovmovmov...,2697,0.132,0.1677,-0.0357
movpusmovcmppusmovjnz,2524,0.1223,0.158,-0.0357
puscalmovpopjmp,2483,0.12,0.1557,-0.0357
calxorpoppoppopmovpusleacalret,3755,0.1914,0.2272,-0.0358
movcalcaltesjz_,4161,0.2142,0.25,-0.0358
movmovcalcalret,4270,0.2203,0.2561,-0.0358
xorxorcmpjz_,2779,0.1366,0.1724,-0.0358
xormovmovaddpoppoppopret,2093,0.098,0.1339,-0.0359
pusmovaddpuspuspusxormovmovmov...,2382,0.1142,0.1501,-0.0359
pusleapuspuscaltesjnz,2921,0.1445,0.1804,-0.0359
puspusmovmovcalret,1820,0.0826,0.1186,-0.036
puspuspusmovmovmovmovcalmovmov...,3055,0.1519,0.188,-0.0361
puspuspuscalpoppopret,2845,0.1401,0.1762,-0.0361
movpuspuscaljmp,10707,0.5817,0.6179,-0.0362
movmovpuscalpopjmp,5231,0.2741,0.3103,-0.0362
puspuscalmovmovmovtesjz_,9530,0.5154,0.5518,-0.0364
pusleapusleapuscaltesjnz,2068,0.0963,0.1327,-0.0364
movaddcmpjz_,27152,1.5052,1.5418,-0.0366
negcmpjnz,1988,0.0917,0.1283,-0.0366
andaddmovmovmovmovpopret,2085,0.0971,0.1338,-0.0367
puspuspuspuspuscaladdmovpoppop...,2535,0.1223,0.1591,-0.0368
movmovmovmovleatesjz_,1972,0.0907,0.1275,-0.0368
movcalmovpoppoppopret,6710,0.3568,0.3937,-0.0369
puspuscalfnstesjnz,2017,0.0932,0.1301,-0.0369
puscalpopxormovcmpjz_,2636,0.1279,0.1649,-0.037
incxormovmovcalcalincdecjnz,9890,0.5353,0.5723,-0.037
puspuscalmovpopret,2643,0.1283,0.1653,-0.037
xorcmpjnz,75198,4.2037,4.2408,-0.0371
calxoraddpopret,2609,0.1263,0.1634,-0.0371
movpuscalmovmovpopret,3499,0.1763,0.2134,-0.0371
movfilfstwaijmp,5207,0.2722,0.3093,-0.0371
movpuscaladdpoppopret,1894,0.0861,0.1233,-0.0372
movcalmovmovmovcmpjnz,4450,0.2296,0.2669,-0.0373
xormovaddpoppoppoppoppoppoppop...,3081,0.1527,0.19,-0.0373
movpoppopmovpopmovpopret,6501,0.3448,0.3821,-0.0373
movpuspusjb_,2092,0.0971,0.1345,-0.0374
movpuspusmovpuscalmovjmp,3559,0.1793,0.2171,-0.0378
subxorcmpjz_,2195,0.1026,0.1406,-0.038
movandaddmovmovcaljmp,2639,0.1275,0.1655,-0.038
pusleamovmovcaltesjnz,3581,0.1804,0.2184,-0.038
movinccmpjge,5439,0.2846,0.3229,-0.0383
movnopcmpjnz,1809,0.0807,0.119,-0.0383
puspuspuspuscalmovaddtesjz_,2430,0.1155,0.1539,-0.0384
pusmovcmpja_,3808,0.1929,0.2314,-0.0385
movmovmovcalxorcalmovpoppoppop...,2860,0.1396,0.1781,-0.0385
shrjnz,2828,0.1378,0.1764,-0.0386
puspuspuscalmovcmpjz_,4787,0.2478,0.2865,-0.0387
puspusmovmovmovmovmovpoppopret,2012,0.0919,0.1306,-0.0387
movsubsarcmpjbe,3536,0.1775,0.2162,-0.0387
or_calret,2495,0.119,0.1578,-0.0388
movincinccmpjl_,1839,0.0821,0.121,-0.0389
movpuscdqpopiditesjnz,2083,0.0958,0.1347,-0.0389
pusmovpuscalpoppoppopret,1787,0.0791,0.1181,-0.039
puspuspusmovmovmovtesjl_,5529,0.2893,0.3283,-0.039
movmovaddaddcmpjl_,1978,0.0898,0.1288,-0.039
puspusaddmovmovtesjz_,3914,0.1985,0.2377,-0.0392
movtesjnsaddsarjmp,2286,0.107,0.1462,-0.0392
pusleapuspuscaladdpopmovpoppop...,1958,0.0886,0.1278,-0.0392
movnegtesjz_,2436,0.1154,0.1547,-0.0393
movpuscalmovpoppopret,3935,0.1996,0.2389,-0.0393
movmovmovsubmovmovmovmovjmp,1966,0.0889,0.1284,-0.0395
xormovcalret,9330,0.5025,0.5421,-0.0396
movtesmovjbe,2310,0.1081,0.1478,-0.0397
cmpmovmovjbe,3112,0.1531,0.1929,-0.0398
andmovshrjz_,2360,0.1109,0.1507,-0.0398
movmovor_jz_,4975,0.2577,0.2976,-0.0399
movshrandjz_,2086,0.0954,0.1353,-0.0399
movpusmovsubpusleacalmovcmpjle,1974,0.089,0.1291,-0.0401
poptesjz_,2865,0.139,0.1792,-0.0402
cmppoppoppopret,1816,0.0801,0.1203,-0.0402
xorxormovcalmovjmp,2555,0.1215,0.1619,-0.0404
or_movmovmovjmp,4640,0.2385,0.2791,-0.0406
cmpmovmovmovmovjnz,1795,0.0786,0.1193,-0.0407
movpusmovaddcalpoptesjnz,3249,0.1602,0.2011,-0.0409
cmppuspusjnz,3517,0.1752,0.2161,-0.0409
andmovmovincshrinccmpjb_,2597,0.1236,0.1645,-0.0409
movmovsubmovcaljmp,3551,0.1771,0.2181,-0.041
movxormovmovcaltesjnz,2475,0.1167,0.1577,-0.041
movmovmovmovaddpoppoppopret,16596,0.9098,0.9509,-0.0411
pusmovpuspuspuspusmovmovmovxor...,2459,0.1157,0.1568,-0.0411
movleapuspuscalmovtesjz_,2374,0.1109,0.1521,-0.0412
pusmovpusmovaddjmp,2049,0.0926,0.1339,-0.0413
movcalmovmovmovpoppoppopmovpop...,1795,0.0783,0.1196,-0.0413
movaddmovmovret,2056,0.0929,0.1343,-0.0414
xorleajmp,12047,0.654,0.6956,-0.0416
movmovpuspuscaltesjnz,4993,0.2578,0.2994,-0.0416
calxorret,3218,0.1581,0.1997,-0.0416
movmovpustesjz_,1963,0.0875,0.1292,-0.0417
movor_movjmp,17067,0.9359,0.9777,-0.0418
puspuscalpuscalmovtesjz_,1911,0.0845,0.1264,-0.0419
xormovmovmovtesjbe,2571,0.1215,0.1635,-0.042
pustesjnz,4575,0.2341,0.2761,-0.042
cmppopjnz,2373,0.1104,0.1524,-0.042
movaddmovaddjmp,3016,0.1464,0.1885,-0.0421
movmovnopmovcmpjnz,2860,0.1375,0.1799,-0.0424
calmovmovcalret,1807,0.0782,0.1209,-0.0427
pusmovpusmovcmpjnz,21350,1.1759,1.2187,-0.0428
calmovcalmovor_jmp,2423,0.1127,0.1556,-0.0429
decdeccmpjz_,2542,0.1194,0.1623,-0.0429
